nhdhr_id,geometry,Depth_avg,area
nhdhr_34127011,-93.136559;45.052124,1.9,169390.328670518
nhdhr_120020379,-92.8312339999999;45.0639350000001,3.4,180826.383553177
nhdhr_86275955,-95.845946;46.7431960000001,2.8,456573.674864729
nhdhr_120020366,-92.84502;45.165485,3.2,189941.373172052
nhdhr_91688775,-92.899849;45.1366160000001,3.4,386345.0
nhdhr_120018493,-95.86448;46.786434,4.2,12412220.9713399
nhdhr_91689681,-92.843531;45.0951680000001,3.0,136656.999538481
nhdhr_166867866,-94.112119;46.6701350000001,4.5,31211607.5760549
nhdhr_91684979,-92.952038;45.3262110000001,3.7,881496.805769505
nhdhr_34119718,-93.0510419999999;45.2577360000001,3.1,1843722.39700231
nhdhr_69547885,-92.3145969999999;45.8307550000001,4.5,5413411.90373651
nhdhr_120020240,-93.434947;44.7262000000001,6.1,3865788.31924628
nhdhr_91688409,-92.8395829999999;45.16117,3.3,195476.17000412
nhdhr_75474779,-88.673958;45.722178,3.4,316822.329814021
nhdhr_120019864,-94.0765929999999;45.2766300000001,8.5,3169511.96668482
nhdhr_120019704,-94.546388;45.1126110000001,2.5,2465739.966
nhdhr_EBD8B5AF-7EBC-43A3-82BA-AF41830C144C,-93.35603;48.618953,8.0,929821943.0538
nhdhr_122851099,-96.466058;44.710342,2.4,1468860.37211391
nhdhr_120018084,-93.109075;44.995438,4.0,296443.587963129
nhdhr_167256799,-94.424298;45.4506240000001,4.7,2538413.88558864
nhdhr_58125241,-95.3364579999999;45.9816910000001,0.9,10547656.7091655
nhdhr_34242518,-93.6406249999999;44.365663,2.9,1088894.44916555
nhdhr_59753059,-94.6897059999999;45.838579,4.9,1070613.45124592
nhdhr_121622760,-88.121122;42.8938390000001,2.2,423969.436884806
nhdhr_120019913,-94.303125;46.651015,4.6,2410719.89408118
nhdhr_74926703,-91.5229169999999;45.8009510000001,4.7,3259338.160668
nhdhr_152517995,-85.392194;42.3773210000001,8.5,8285670.87927102
nhdhr_91690083,-92.8479169999999;45.077524,2.2,208502.377423331
nhdhr_60087894,-84.942708;44.723819,6.1,1267052.33626622
nhdhr_91594493,-93.408653;44.841191,3.9,415228.20258061
nhdhr_120017991,-93.010417;45.2604170000001,2.0,1735912.66477894
nhdhr_34132539,-93.547084;44.901104,5.0,1081183.81281578
nhdhr_91688615,-92.910899;45.1493,2.1,155532.517422162
nhdhr_120018135,-93.7184369999999;44.873163,3.7,435164.033012092
nhdhr_91596049,-93.737136;44.7876830000001,3.6,576662.654563923
nhdhr_157076137,-90.094792;43.5897860000001,9.8,2448460.61683056
nhdhr_120020398,-92.911574;44.979652,3.2,534729.011928909
nhdhr_120018061,-93.416331;45.0676040000001,3.2,229317.849148173
nhdhr_47480235,-91.883787;46.1743750000001,3.7,1104710.0
nhdhr_68838273,-88.5854889999999;45.3594180000001,4.2,207308.969173282
nhdhr_68840139,-88.575481;44.903218,7.6,4838875.13886297
nhdhr_91688055,-92.823504;45.1738730000001,4.8,492516.711563128
nhdhr_120018085,-93.332962;44.9974690000001,3.6,273721.719791868
nhdhr_91598525,-93.5270829999999;44.601145,4.5,3207214.90524171
nhdhr_70331641,-89.063517;45.946469,5.9,1666060.0
nhdhr_143249705,-89.4074689999999;43.05778,3.1,1361893.45195407
nhdhr_120020364,-92.834099;45.166298,3.7,175679.857416789
nhdhr_120020844,-94.301411;46.376521,3.1,2114739.68006267
nhdhr_91684449,-93.107292;45.3451380000001,3.4,2302239.46644894
nhdhr_34131278,-93.673958;44.946332,4.5,698988.046520581
nhdhr_167256807,-94.424298;45.4506240000001,4.7,1732719.25251391
nhdhr_69886284,-89.607292;46.025565,6.5,3629990.0
nhdhr_82815984,-86.492487;44.036103,6.9,18999774.7834963
nhdhr_120018017,-93.133639;45.149794,2.0,1502294.43875237
nhdhr_34124239,-93.464502;45.1181990000001,3.0,1430098.60743849
nhdhr_120018073,-93.431277;45.0562210000001,3.7,738417.677390936
nhdhr_121623268,-88.555913;42.789358,4.6,587808.014612883
nhdhr_120018146,-92.940904;44.510639,6.2,5500658.21843477
nhdhr_80004215,-93.385905;47.243683,8.8,7534610.67538219
nhdhr_120018379,-96.350966;44.409278,2.7,4031826.80967678
nhdhr_120020798,-95.036458;46.79492,3.8,1879423.83636936
nhdhr_70330275,-89.292031;46.166528,3.5,258786.49962911
nhdhr_91684663,-92.2099679999999;45.3188260000001,3.0,1101420.0
nhdhr_68838259,-88.5854889999999;45.3594180000001,4.2,102624.171119481
nhdhr_143398250,-99.176208;48.2830680000001,1.0,43679331.4200798
